province,date,daily_rainfall,rain_anomaly_mm,rain_intensity_mm_h,daily_tmin,daily_tmax,daily_tmean,temp_anomaly_c,daily_pet,daily_et0,daily_relative_humidity,solar_radiation_w_m2,wind_speed_2m,seasonal_rain_3m,seasonal_rain_6m,relative_humidity_pct,wind_speed_2m_m_s,rainfall_intensity_mm_h,temp_anomaly_deg_c,rain_anomaly_pct,spi_1m,spi_3m,spi_6m,spi_12m,spi_24m,spei_1m,spei_3m,spei_6m,spei_12m,spei_24m
Gauteng,2004-09-01,0.0,-0.68,0.0,4.27,21.2,12.74,-2.73,2.18,2.08,42.34,204.09,3.05,14.79,152.28,30.0,2.45,0.0,-2.99,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-02,0.0,-0.77,0.0,6.19,21.72,13.96,-1.91,2.23,2.12,42.33,208.84,3.57,11.8,147.34,30.0,2.45,0.0,-2.16,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-03,0.95,0.2,0.27,5.64,21.92,13.78,-1.85,1.12,1.07,55.56,103.68,3.26,12.75,148.29,30.0,2.45,0.24,-2.1,26.4,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-04,1.69,0.6,0.38,5.36,24.38,14.87,-0.85,1.37,1.3,63.84,112.19,2.47,14.44,149.98,30.0,2.45,0.42,-1.1,54.76,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-05,0.0,-0.18,0.0,4.0,22.87,13.44,-2.49,2.3,2.19,40.64,198.81,3.27,14.44,149.98,30.0,2.45,0.0,-2.73,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-06,0.06,-0.6,0.01,5.21,24.44,14.82,-0.82,1.45,1.38,64.89,118.81,2.58,13.86,150.04,30.0,2.45,0.02,-1.07,-90.91,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-07,0.0,-0.63,0.0,5.36,22.05,13.7,-1.76,2.12,2.02,38.23,193.41,3.22,13.86,150.04,30.0,2.45,0.0,-2.02,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-08,0.0,-0.64,0.0,5.76,23.2,14.48,-1.13,2.2,2.1,42.88,191.78,2.76,13.86,150.04,30.0,2.45,0.0,-1.38,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-09,0.0,-0.5,0.0,7.98,22.84,15.41,-0.1,2.06,1.96,37.6,188.79,2.84,13.86,150.04,30.0,2.45,0.0,-0.35,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-10,0.0,-0.7,0.0,5.65,20.62,13.14,-2.39,1.91,1.82,41.72,186.94,2.78,13.5,149.37,30.0,2.45,0.0,-2.65,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-11,0.0,-0.35,0.0,3.35,23.12,13.24,-2.12,2.28,2.17,40.53,193.49,2.61,13.5,149.37,30.0,2.45,0.0,-2.39,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-12,0.0,-0.13,0.0,5.9,21.66,13.78,-1.44,1.83,1.74,42.39,170.95,3.03,13.5,149.37,30.0,2.45,0.0,-1.71,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-13,0.0,-0.75,0.0,4.63,23.18,13.9,-1.73,2.19,2.09,39.12,188.28,3.25,13.5,149.37,30.0,2.45,0.0,-1.99,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-14,0.11,-0.11,0.03,4.9,24.97,14.93,-0.54,1.44,1.37,56.46,114.94,2.9,13.47,149.48,30.0,2.45,0.03,-0.8,-49.26,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-15,0.0,-0.34,0.0,6.04,21.55,13.8,-1.73,1.92,1.83,41.04,181.4,3.89,13.3,113.03,30.0,2.45,0.0,-1.99,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-16,0.0,-0.2,0.0,6.4,21.82,14.11,-1.29,1.95,1.86,35.24,183.33,2.92,13.3,113.03,30.0,2.45,0.0,-1.55,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-17,0.0,-0.55,0.0,5.84,23.24,14.54,-0.54,2.15,2.05,38.75,187.42,3.07,13.3,113.03,30.0,2.45,0.0,-0.81,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-18,0.39,-0.07,0.1,4.32,22.82,13.57,-1.82,0.94,0.9,60.14,82.57,2.74,12.53,102.34,30.0,2.45,0.1,-2.09,-15.88,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-19,0.04,-0.51,0.01,4.21,20.69,12.45,-2.55,1.16,1.1,59.07,110.37,3.78,12.57,83.26,30.0,2.45,0.01,-2.83,-92.78,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-20,0.11,-0.32,0.03,6.43,24.66,15.54,0.08,1.16,1.1,62.43,94.87,2.52,12.27,83.37,30.0,2.45,0.03,-0.18,-74.44,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-21,0.0,-0.44,0.0,2.01,20.42,11.22,-3.87,1.83,1.74,35.86,172.77,2.6,12.27,83.37,30.0,2.45,0.0,-4.15,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-22,0.0,-0.74,0.0,4.87,22.19,13.53,-1.33,1.98,1.89,37.1,178.72,3.2,12.27,83.37,30.0,2.45,0.0,-1.61,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-23,0.22,-0.95,0.06,2.72,24.03,13.38,-2.28,1.29,1.23,55.86,105.14,2.55,12.49,83.59,30.0,2.45,0.06,-2.54,-81.14,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-24,0.0,-1.01,0.0,5.43,21.49,13.46,-1.82,1.85,1.76,37.29,173.03,2.54,12.49,83.59,30.0,2.45,0.0,-2.09,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-25,0.0,-0.26,0.0,5.52,23.54,14.53,-0.74,1.91,1.82,39.13,163.05,2.38,12.49,83.59,30.0,2.45,0.0,-1.01,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-26,0.0,-0.62,0.0,6.62,21.03,13.82,-1.59,1.84,1.75,38.9,179.67,2.76,12.49,65.41,30.0,2.45,0.0,-1.86,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-27,0.0,-0.06,0.0,5.05,21.94,13.5,-1.51,1.81,1.72,40.05,164.92,2.87,12.39,65.41,30.0,2.45,0.0,-1.79,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-28,0.0,-0.66,0.0,3.95,21.11,12.53,-2.81,1.66,1.58,39.71,154.74,2.62,12.39,65.41,30.0,2.45,0.0,-3.07,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-29,0.0,-0.58,0.0,6.1,23.68,14.89,-0.48,1.85,1.76,36.65,158.72,2.95,12.39,65.41,30.0,2.45,0.0,-0.75,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-09-30,0.0,-1.04,0.0,3.81,22.76,13.28,-3.55,1.93,1.84,42.87,167.47,2.47,12.36,65.41,30.0,2.45,0.0,-3.76,-100.0,-1.06,-1.47,-1.8,-0.71,-1.65,-0.75,-0.97,-1.35,-0.45,-1.42
Gauteng,2004-10-01,0.0,-2.88,0.0,9.81,24.91,17.36,-0.05,1.91,1.82,44.25,164.39,3.3,12.36,65.41,30.0,2.45,0.0,-0.23,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-02,9.41,5.04,2.24,12.85,24.98,18.92,1.4,1.28,1.22,64.52,117.68,2.81,21.77,74.82,39.3,2.45,2.35,1.22,115.31,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-03,0.0,-4.08,0.0,8.78,27.1,17.94,0.55,2.04,1.94,46.92,156.41,2.5,21.77,74.82,30.0,2.45,0.0,0.36,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-04,0.0,-1.8,0.0,10.46,26.76,18.61,1.23,2.0,1.9,45.1,159.31,2.7,21.45,74.82,30.0,2.45,0.0,1.05,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-05,0.0,-2.02,0.0,8.64,23.68,16.16,-1.31,1.72,1.64,44.79,153.77,2.3,21.45,74.82,30.0,2.45,0.0,-1.49,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-06,0.0,-1.77,0.0,8.13,25.66,16.9,-0.63,1.97,1.88,50.77,159.66,3.23,21.45,74.82,30.0,2.45,0.0,-0.81,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-07,0.0,-0.3,0.0,9.72,22.72,16.22,-1.1,1.7,1.62,49.94,162.91,2.61,21.45,74.82,35.0,2.45,0.0,-1.29,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-08,0.0,-1.42,0.0,9.17,27.43,18.3,1.21,1.98,1.89,45.13,151.09,3.69,21.35,74.82,30.0,2.45,0.0,1.02,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-09,0.0,-0.38,0.0,8.47,27.83,18.15,0.78,2.09,1.99,48.88,155.11,3.07,21.14,74.82,30.0,2.45,0.0,0.59,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-10,0.0,-0.99,0.0,8.73,24.09,16.41,-1.04,1.73,1.65,44.8,151.49,2.7,21.14,74.82,30.0,2.45,0.0,-1.22,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-11,0.54,-1.24,0.13,10.98,27.64,19.31,1.6,1.43,1.36,70.92,110.37,2.8,21.68,74.2,30.0,2.45,0.14,1.43,-69.59,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-12,0.0,-0.81,0.0,9.37,23.69,16.53,-1.09,1.72,1.64,50.27,155.77,2.27,21.66,72.78,30.0,2.45,0.0,-1.26,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-13,0.0,-2.24,0.0,10.04,25.72,17.88,0.43,1.78,1.7,47.83,148.7,3.74,21.66,72.78,30.0,2.45,0.0,0.25,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-14,0.0,-0.75,0.0,10.13,25.96,18.05,0.2,1.87,1.78,49.95,154.06,3.03,21.53,67.47,30.0,2.45,0.0,0.03,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-15,1.62,-1.03,0.37,10.95,23.68,17.31,-0.01,1.05,1.0,67.96,98.85,2.29,23.15,69.09,36.3,2.45,0.4,-0.2,-38.92,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-16,0.0,-2.46,0.0,8.79,24.86,16.82,-0.42,1.78,1.7,48.42,150.89,3.27,23.15,45.33,30.0,2.45,0.0,-0.61,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-17,3.72,1.24,0.94,10.42,26.1,18.26,1.02,1.05,1.0,67.83,86.65,2.99,26.87,49.05,30.0,2.45,0.93,0.83,50.15,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-18,0.0,-2.38,0.0,7.95,22.57,15.26,-1.99,1.54,1.47,43.14,143.57,2.92,26.78,49.05,30.0,2.45,0.0,-2.18,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-19,0.0,-3.19,0.0,9.94,28.34,19.14,1.62,1.95,1.86,49.0,144.78,2.42,26.78,49.05,30.0,2.45,0.0,1.44,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-20,0.0,-0.73,0.0,9.73,25.62,17.68,0.36,1.69,1.61,46.33,140.62,3.31,26.78,49.05,30.0,2.45,0.0,0.17,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-21,0.0,-0.92,0.0,8.87,23.48,16.18,-1.58,1.48,1.41,45.46,133.63,2.41,26.78,43.8,30.0,2.45,0.0,-1.75,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-22,0.0,-0.58,0.0,8.8,23.89,16.34,-1.07,1.54,1.47,47.66,136.85,2.98,26.78,43.8,30.0,2.45,0.0,-1.25,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-23,0.0,-0.82,0.0,10.86,27.04,18.95,1.45,1.75,1.67,45.54,139.54,3.34,26.78,43.8,30.0,2.45,0.0,1.27,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-24,0.0,-1.34,0.0,10.07,26.56,18.31,0.67,1.68,1.6,43.54,134.37,2.73,26.78,43.8,30.0,2.45,0.0,0.49,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-25,0.0,-2.06,0.0,7.9,26.21,17.06,-0.33,1.72,1.64,47.58,135.32,2.69,26.68,43.8,30.0,2.45,0.0,-0.51,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-26,0.0,-1.82,0.0,11.4,24.43,17.92,0.73,1.49,1.42,44.95,135.72,2.39,26.68,43.8,34.9,2.45,0.0,0.54,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-27,4.71,-0.25,1.16,10.44,25.65,18.04,0.55,1.07,1.02,65.06,89.74,3.13,30.22,48.51,30.0,2.45,1.18,0.37,-5.06,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-28,9.25,6.3,2.27,11.03,25.62,18.32,0.64,1.13,1.08,63.46,96.65,4.14,39.47,57.76,30.0,2.45,2.31,0.47,214.07,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-29,0.0,-2.0,0.0,9.61,25.94,17.77,0.38,1.52,1.45,45.16,124.37,3.49,39.47,56.89,30.0,2.45,0.0,0.2,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-30,0.61,-0.41,0.14,11.39,27.47,19.43,1.98,0.98,0.93,66.54,77.08,2.2,40.08,57.5,30.0,2.45,0.15,1.8,-39.91,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-10-31,0.0,-4.6,0.0,11.35,27.55,19.45,1.34,1.74,1.66,47.47,136.14,3.71,38.58,57.5,30.0,2.45,0.0,1.19,-100.0,-0.03,-0.8,-1.91,-1.05,-1.84,-0.3,-0.73,-1.3,-0.81,-1.58
Gauteng,2004-11-01,0.0,-5.94,0.0,13.37,26.45,19.91,2.0,1.49,1.42,58.01,128.38,2.26,37.76,57.5,34.6,2.45,0.0,1.84,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-02,0.0,-1.5,0.0,13.99,27.3,20.64,2.37,1.5,1.43,57.47,125.74,2.59,37.76,56.52,33.4,2.45,0.0,2.22,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-03,0.0,-3.54,0.0,13.63,29.16,21.4,2.85,1.61,1.53,55.93,122.1,2.62,37.65,56.52,30.0,2.45,0.0,2.72,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-04,0.0,-3.49,0.0,12.58,28.4,20.49,2.3,1.58,1.5,58.49,121.55,2.68,37.65,56.52,30.0,2.45,0.0,2.15,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-05,0.0,-1.97,0.0,11.37,32.82,22.1,3.69,1.76,1.68,56.76,111.88,3.77,37.65,56.24,30.0,2.45,0.0,3.55,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-06,0.0,-2.18,0.0,12.09,28.74,20.42,2.68,1.68,1.6,51.21,126.58,2.85,37.65,56.24,30.0,2.45,0.0,2.51,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-07,0.0,-3.48,0.0,15.06,28.95,22.0,3.37,1.56,1.49,51.75,124.0,3.49,37.65,56.24,30.6,2.45,0.0,3.23,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-08,1.08,-1.32,0.27,14.33,29.15,21.74,3.23,0.9,0.86,75.5,69.27,2.51,38.73,57.32,30.0,2.45,0.27,3.09,-55.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-09,12.56,10.82,3.09,12.54,27.1,19.82,1.16,0.92,0.88,79.08,75.6,3.79,51.03,68.84,30.0,2.45,3.14,1.03,620.84,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-10,0.0,-1.63,0.0,13.37,28.08,20.72,2.37,1.6,1.52,58.83,127.11,3.56,51.03,68.81,30.0,2.45,0.0,2.22,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-11,0.0,-7.68,0.0,13.16,26.87,20.02,2.01,1.44,1.37,51.45,120.9,3.06,49.98,68.43,31.4,2.45,0.0,1.85,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-12,0.0,-4.03,0.0,13.14,32.38,22.76,4.14,1.89,1.8,51.26,125.03,2.84,49.98,68.43,30.0,2.45,0.0,4.0,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-13,0.0,-0.96,0.0,13.62,25.29,19.45,1.04,1.25,1.19,56.97,115.4,2.45,49.98,68.43,41.6,2.45,0.0,0.89,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-14,0.0,-3.58,0.0,13.09,27.9,20.49,2.0,1.45,1.38,57.51,115.51,3.26,49.07,68.43,30.0,2.45,0.0,1.86,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-15,0.0,-1.96,0.0,12.58,31.2,21.89,3.59,1.56,1.49,52.08,107.61,3.13,48.9,66.31,30.0,2.45,0.0,3.44,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-16,0.0,-2.56,0.0,14.13,26.78,20.46,1.86,1.43,1.36,55.67,122.82,2.75,48.89,64.58,36.8,2.45,0.0,1.72,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-17,0.0,-1.59,0.0,13.02,30.79,21.9,3.53,1.67,1.59,52.27,116.98,2.94,48.89,64.58,30.0,2.45,0.0,3.39,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-18,21.57,17.77,4.96,11.3,26.81,19.06,0.59,0.9,0.86,76.86,73.19,3.11,69.71,86.15,30.0,2.45,5.39,0.45,467.75,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-19,50.89,46.13,12.76,11.91,26.31,19.11,0.94,0.85,0.81,78.57,71.22,2.55,120.26,137.04,30.0,2.45,12.72,0.78,969.75,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-20,0.0,-3.9,0.0,13.01,30.62,21.82,3.13,1.72,1.64,54.95,121.37,2.77,120.26,137.04,30.0,2.45,0.0,3.0,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-21,0.0,-2.84,0.0,13.42,27.64,20.53,1.85,1.51,1.44,59.1,122.52,2.95,120.26,137.04,30.0,2.45,0.0,1.72,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-22,4.47,0.28,1.05,13.02,27.17,20.1,1.72,0.78,0.74,78.65,63.68,2.29,124.73,141.51,30.0,2.45,1.12,1.58,6.73,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-23,0.0,-1.25,0.0,15.0,26.32,20.66,1.81,1.21,1.15,58.76,109.87,2.67,124.73,141.51,43.4,2.45,0.0,1.68,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-24,0.0,-5.0,0.0,13.72,31.07,22.4,3.63,1.66,1.58,58.97,116.32,3.34,124.73,141.51,30.0,2.45,0.0,3.5,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-25,0.0,-3.92,0.0,12.91,30.28,21.6,2.91,1.59,1.51,52.4,113.01,2.36,124.58,140.96,30.0,2.45,0.0,2.78,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-26,0.0,-2.56,0.0,11.95,27.56,19.76,1.02,1.32,1.26,57.3,104.29,3.46,124.58,140.65,30.0,2.45,0.0,0.89,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-27,9.6,8.02,2.43,11.69,29.5,20.6,1.86,0.69,0.66,74.49,50.21,2.39,133.6,148.41,30.0,2.45,2.4,1.73,506.06,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-28,0.0,-3.13,0.0,13.57,27.84,20.7,1.71,1.29,1.23,58.54,104.64,3.09,133.6,148.39,30.0,2.45,0.0,1.59,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-29,0.0,-5.06,0.0,12.36,27.06,19.71,1.0,1.27,1.21,55.5,103.55,2.66,133.6,148.39,30.0,2.45,0.0,0.87,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-11-30,0.0,-1.78,0.0,13.89,29.49,21.69,1.94,1.38,1.31,54.78,103.51,2.89,133.6,148.39,30.0,2.45,0.0,1.85,-100.0,0.92,0.13,-0.9,-0.71,-1.29,0.9,-0.05,-0.78,-0.58,-1.15
Gauteng,2004-12-01,0.0,-2.83,0.0,13.57,25.89,19.73,-0.16,1.27,1.21,57.46,113.51,3.37,133.6,145.4,38.4,2.45,0.0,-0.24,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-02,0.0,-2.28,0.0,13.76,26.29,20.02,0.47,1.29,1.23,56.98,113.41,3.25,132.65,145.4,37.4,2.45,0.0,0.38,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-03,58.22,51.99,16.3,12.76,28.07,20.42,0.69,0.89,0.85,77.48,70.37,2.67,189.18,203.62,30.0,2.45,14.56,0.6,834.81,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-04,0.0,-5.92,0.0,12.37,26.55,19.46,-0.24,1.41,1.34,63.55,117.42,2.92,189.18,203.62,30.0,2.45,0.0,-0.33,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-05,0.0,-4.43,0.0,15.25,25.02,20.13,0.12,1.03,0.98,62.67,102.19,2.23,189.12,202.98,51.2,2.45,0.0,0.04,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-06,0.0,-4.05,0.0,13.24,26.81,20.02,0.17,1.28,1.22,57.23,107.83,2.58,189.12,202.98,32.2,2.45,0.0,0.09,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
Gauteng,2004-12-07,0.0,-6.44,0.0,13.46,23.28,18.37,-1.37,1.01,0.96,60.64,104.05,3.28,189.12,202.98,50.9,2.45,0.0,-1.46,-100.0,1.42,0.94,0.07,0.39,-1.11,1.9,0.98,0.01,0.45,-1.01
